bt.A,5.61,4.1,5.78,5.3
bt.B,9.46,5.35,7.62,6.19
ep.A,6.24,6.16,10.6,5.41
ep.B,3.69,5.24,4.61,3.51
ep.C,3.43,5.28,2.56,3.57
ft.B,6.2,3.65,11.54,3.34
is.C,2.47,7.38,2.16,4.57
lu.A,2.49,3.43,2.18,3.85
lu.B,7.75,2.54,7.34,3.99
lu.C,8.35,3.09,10.43,5.02
mg.B,7.06,3.78,7.41,9.25
mg.C,5.14,4.54,6.49,5.29
sp.A,4.76,2.97,7.22,7.53
sp.C,5.98,4.37,12.09,5.17
blackscholes,9.56,5.28,5.77,4.01
bodytrack,3.83,6.46,2.41,2.77
canneal,11.92,5.75,10.18,4.03
dedup,15.89,6.29,4.06,2.52
freqmine,3.87,4.02,2.63,5.73
raytrace,4.58,3.84,2.39,4.2
streamcluster,11.75,8.5,6.54,3.11
vips,6.58,5.13,5.28,8.48
x264,4.73,5.33,3.74,5.92
Astar,13.84,3.1,2.72,1.45
Bzip2,11.75,2.66,1.75,1.39
CactusADM,12.6,4.74,1.96,1.57
Calculix,9.84,3.45,2.84,1.4
GemsFDTD,12.41,5.54,1.96,1.64
Gobmk,11.15,4.91,1.58,1.49
Hmmer,7.87,2.28,1.18,1.45
Lbm,9.38,3.81,1.24,1.73
Libquantum,9.21,8.13,1.34,1.67
Mcf,23.06,3.04,3.29,1.45
Milc,13.28,6.98,1.82,1.57
Povray,7.88,6.03,1.21,1.47
Soplex,15.11,4.35,1.63,1.49
Sphinx3,9.06,4.6,4.12,1.54
Tonto,9.23,3.18,1.58,1.45
Wrf,11.39,3.72,2.39,1.42
H264ref,7.83,2.57,1.87,1.56
Leslie3d,12.41,2.85,2.05,1.65
Xalancbmk,14.28,3.04,1.66,1.48
barnes,8.94,6.07,6.88,2.6
fmm,14.46,7.99,11.77,2.74
lu_cb,3.16,6.91,7.87,2.28
lu_ncb,4.91,7.06,3.68,2.43
ocean_cp ,4.01,3.39,6.78,7.73
radiosity,6.2,6.91,6.94,2.01
radix,13.58,6.36,8.44,2.81
raytrace,7.13,5.43,9.66,2.15
volrend,7.8,6.27,7.75,3.09
water_nsquared ,2.7,2.55,4.98,3.96
water_spatial,6.67,6.84,8.17,2.02
